case_no,employer_name,employer_city,employer_state,case_status,last_event_date,n_certified,agent_name
H-300-14352-947349,"BILLY BLAND FISHERY, INC",TAYLOR,AR,DETERMINATION ISSUED - CERTIFICATION,2015-01-07,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14352-564127,RAMBO NURSERY LLC,DALLAS,GA,DETERMINATION ISSUED - CERTIFICATION,2015-01-08,12,NATIONAL AGRICULTURAL CONSULTANTS LLC:WARREN WICKER
H-300-14343-082231,BLUE RIDGE FISH HATCHERY INC,CLAUDVILLE,VA,DETERMINATION ISSUED - CERTIFICATION,2015-01-09,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14350-586096,FILPPEN FRUIT FARM INC.,TROY,TN,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2015-01-12,9,NATIONAL AGRICULTURAL CONSULTANTS LLC:WARREN WICKER
H-300-14358-274574,"TY BRIT, INC",INEZ,TX,DETERMINATION ISSUED - DENIED,2015-01-12,0,NATIONAL AGRICULTURE CONSULTANTS LLC:THERESA WARD
H-300-14358-202110,"LAMONT FRUIT FARM, INC",WATERPORT,NY,DETERMINATION ISSUED - CERTIFICATION,2015-01-14,24,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15002-508517,WILLOWBEND NURSERIES LLC,OAKWOOD VILLAGE,OH,DETERMINATION ISSUED - CERTIFICATION,2015-01-15,68,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14350-969248,"TYBRIT, INC",INEZ,TX,DETERMINATION ISSUED - CERTIFICATION,2015-01-15,3,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14363-479555,COURTNEY FARMS LLC,LUCEDALE,MS,DETERMINATION ISSUED - CERTIFICATION,2015-01-15,72,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15002-202171,G. DEEUGENIO & SONS #1,GLASSBORO,NJ,DETERMINATION ISSUED - CERTIFICATION,2015-01-20,18,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15007-958310,R.M ZINGLER JR FARMS,KENDALL,NY,DETERMINATION ISSUED - CERTIFICATION,2015-01-21,8,NATIONAL AGRICULTURAL CONSULTANTS:THERESA WARD
H-300-14358-302826,CHAPMAN SOD LLC,INMAN,SC,DETERMINATION ISSUED - CERTIFICATION,2015-01-22,6,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14363-082607,LEHIGH VALLEY HOME & GARDEN CENTER,NORTHAMPTON,PA,DETERMINATION ISSUED - CERTIFICATION,2015-01-22,3,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-14365-905494,TRIPLE M FARMS,MOBILE,AL,DETERMINATION ISSUED - CERTIFICATION,2015-01-22,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15007-208584,KALIR ENTERPRISES INC,BROCKPORT,NY,DETERMINATION ISSUED - CERTIFICATION,2015-01-22,15,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15002-756515,WILLOWBEND NURSERIES LLC,OAKWOOD VILLAGE,OH,DETERMINATION ISSUED - CERTIFICATION,2015-01-23,106,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15008-282639,"LCN, HOLDINGS INC",PERRY,OH,DETERMINATION ISSUED - CERTIFICATION,2015-01-23,7,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15007-491864,KAMMAN'S FARMS INC,VALLONIA,IN,DETERMINATION ISSUED - CERTIFICATION,2015-01-23,6,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15002-347391,SEWARD FARMS,WILMER,AL,DETERMINATION ISSUED - CERTIFICATION,2015-01-26,12,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15002-465741,MOUNTAIN VIEW FARMS,KODAK,TN,DETERMINATION ISSUED - CERTIFICATION,2015-01-26,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15014-889054,MATTHEWS SWEET POTATO FARMS,WYNNE,AR,DETERMINATION ISSUED - CERTIFICATION,2015-01-28,63,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15014-617463,T & P HARVESTING LLC,VARDAMAN,MS,DETERMINATION ISSUED - CERTIFICATION,2015-01-28,1,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15008-799977,TEDDY CHARLES MILLER,KODAK,TN,DETERMINATION ISSUED - CERTIFICATION,2015-01-28,5,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15015-017027,T & P HARVESING LLC,VARDAMAN,MS,DETERMINATION ISSUED - WITHDRAWN,2015-01-28,0,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15007-983616,RUSSELL'S TREE & SHRUB FARM LLC,EAST AMHERST,NY,DETERMINATION ISSUED - CERTIFICATION,2015-01-28,4,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15014-770966,LARCHMONT FARMS INC,ELMER,NJ,DETERMINATION ISSUED - CERTIFICATION,2015-01-29,20,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15014-079917,"MSCP, INC",PELION,SC,DETERMINATION ISSUED - CERTIFICATION,2015-01-29,45,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15015-788748,WAYNE WILKISON FARMS,CRAWFORDSVILLE,AR,DETERMINATION ISSUED - CERTIFICATION,2015-01-30,20,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15015-393776,A.E. SHOFFNER LTD,NEWPORT,AR,DETERMINATION ISSUED - CERTIFICATION,2015-01-30,1,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15015-468666,HOBBY & ASSOCIATES LTD,LOUNDONVILLE,OH,DETERMINATION ISSUED - CERTIFICATION,2015-02-02,3,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15016-008794,PURE BEAUTY FARMS INC,MIAMI,FL,DETERMINATION ISSUED - CERTIFICATION,2015-02-03,40,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15008-201074,MATTHEWS RIDGEVIEW FARMS,WYNNE,FL,DETERMINATION ISSUED - CERTIFICATION,2015-02-03,8,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15021-819625,FISHER'S ORCHARDS,GREER,SC,DETERMINATION ISSUED - CERTIFICATION,2015-02-03,10,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15021-829567,CHERRY BAY ORCHARDS INC,SUTTONS BAY,MI,DETERMINATION ISSUED - CERTIFICATION,2015-02-06,12,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15021-081040,HILLCREST ORCHARDS INC,ELLIJAY,GA,DETERMINATION ISSUED - CERTIFICATION,2015-02-06,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15007-790612,ECKERT ORCHARDS INC,BELLEVILLE,IL,DETERMINATION ISSUED - CERTIFICATION,2015-02-06,36,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15021-685006,JERRY STUARD,TRENTON,KY,DETERMINATION ISSUED - CERTIFICATION,2015-02-09,7,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15022-968970,PINECREST TREE FARMS LP,NEW RINGGOLD,PA,DETERMINATION ISSUED - CERTIFICATION,2015-02-11,8,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15029-488395,HJT PACKAGING,MIDWAY,TN,DETERMINATION ISSUED - CERTIFICATION,2015-02-12,22,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15029-143598,RANDY HARDIN FARMS,GRADY,AR,DETERMINATION ISSUED - CERTIFICATION,2015-02-13,17,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15029-561627,LUCAS NURSERY,SUPERIOR TOWNSHIP,MI,DETERMINATION ISSUED - CERTIFICATION,2015-02-13,10,NATIONAL AGRICULTURAL CONSULTANTS LLC:WARREN WICKER
H-300-15022-510464,CATNIP RIDGE MANURE APPLICATION INC,CONESVILLE,IA,DETERMINATION ISSUED - CERTIFICATION,2015-02-13,16,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15015-304570,JOSEPH HEBERLE FARMS,KENDALL,NY,DETERMINATION ISSUED - CERTIFICATION,2015-02-18,5,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15037-212635,CARTER TOBACCO FARM,MAYFIELD,KY,DETERMINATION ISSUED - CERTIFICATION,2015-02-20,6,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15027-951772,TOSH FARMS,HENRY,TN,DETERMINATION ISSUED - CERTIFICATION,2015-02-23,17,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15029-179647,LUCAS NURSERY,SUPERIOR TOWNSHIP,MI,DETERMINATION ISSUED - CERTIFICATION,2015-02-23,4,NATIONAL AGRICULTURAL CONSULTANTS LLC:WARREN WICKER
H-300-15040-878824,JE COOLEY FARMS INC,CHESNEE,SC,DETERMINATION ISSUED - CERTIFICATION,2015-02-24,115,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15037-464478,SLATE FARMS,CLARKSVILLE,TN,DETERMINATION ISSUED - CERTIFICATION,2015-02-25,6,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15034-924118,FREY BROTHERS,KEENES,IL,DETERMINATION ISSUED - CERTIFICATION,2015-02-25,24,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15042-297337,DUTCHMAN TREE FARMS LLC,MANTON,MI,DETERMINATION ISSUED - CERTIFICATION,2015-02-25,70,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15042-709463,RILEY BROTHERS FARM LLC,ADAMS,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-05,7,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15044-286723,AUTUMN RIDGE LANDSCAPING,LORETTO,MN,DETERMINATION ISSUED - CERTIFICATION,2015-03-05,20,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15051-867027,C.S MCLEOD FARMS INC,MCBEE,SC,DETERMINATION ISSUED - CERTIFICATION,2015-03-06,60,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15049-683651,WALTER P. RAWL & SONS INC,PELION,SC,DETERMINATION ISSUED - CERTIFICATION,2015-03-09,120,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15057-827400,WEAKLEY FAMILY FARMS,CLARKSVILLE,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-09,3,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15049-134858,DEAN'S NURSERY INC,LUCEDALE,MS,DETERMINATION ISSUED - CERTIFICATION,2015-03-09,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15050-408368,BOYD FARMS,ROCK HILL,SC,DETERMINATION ISSUED - CERTIFICATION,2015-03-11,6,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15014-474546,WALTER P. RAWL & SONS INC,PELION,SC,DETERMINATION ISSUED - WITHDRAWN,2015-03-11,0,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15054-628785,TIDWELLS BERRY FARM,SPRING CITY,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-11,27,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15057-119508,MARK BOURNE,ADAMS,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-13,5,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15057-706221,ALLHAY FARMS LLC,AMSTERDAM,NY,DETERMINATION ISSUED - CERTIFICATION,2015-03-13,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15054-775523,BRYANT BROTHERS,ADAMS,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-13,6,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15054-237763,KEVIN MANN,NORTH BRANCH,MN,DETERMINATION ISSUED - CERTIFICATION,2015-03-13,4,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15042-859575,SCOTT STRAWBERRIES & TOMATOES FARMS & SCOTTS UNAKA MOUNTAIN BLUEBERRIES LLC,UNICOI,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-13,80,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15057-438293,CENTRAL TURF FARMS,FOREST LAKE,MN,DETERMINATION ISSUED - CERTIFICATION,2015-03-13,5,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15056-056255,SUN VALLEY ORCHARDS LLC,SWEDESBORO,NJ,DETERMINATION ISSUED - CERTIFICATION,2015-03-13,40,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15054-656198,MICHAEL BEJMA,CHAPMANSBORO,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-13,4,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15049-914863,KAMMAN'S FARMS INC,VALLONIA,IN,DETERMINATION ISSUED - CERTIFICATION,2015-03-17,32,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15064-174297,ELVIS BELLAR,ADAMS,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-19,9,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15064-007194,HEAD BROTHERS FARMS LLC,CEDAR HILL,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-19,5,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15068-784041,HOLT FARMS LLC,ADAMS,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-19,4,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15064-315424,CLARENCE STUARD DBA: RIVER BLUFF FARMS,ADAMS,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-20,8,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15064-735048,PALMORE FARMS,CHAPMANSBORO,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-20,5,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15058-968127,JONES & CHURCH FARMS,UNICOI,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-23,75,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15054-930340,SHEPPARD FARMS INC,CEDARVILLE,NJ,DETERMINATION ISSUED - CERTIFICATION,2015-03-24,80,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15072-322727,DAVIS TOBACCO FARMS LLC,ADAMS,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-24,6,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15068-953521,JOHNATHAN MOSELEY,ADAMS,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-24,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15070-643508,BT & JERRY JONES DBA: JONES FARMS,CROSS PLAINS,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-24,3,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15072-016309,BSS FARMS,CEDAR HILL,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-25,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15072-808097,WINTERS FARM LLC,CEDAR HILL,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-25,4,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15072-279757,TRAIL PARTNERSHIP DBA,WIDNER,AR,DETERMINATION ISSUED - CERTIFICATION,2015-03-25,4,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15054-786950,KAMMAN'S FARMS INC,VALLONIA,IN,DETERMINATION ISSUED - WITHDRAWN,2015-03-25,0,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15068-565706,MOSELEY BROS FARM,ADAMS,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-26,3,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15072-974169,FRANK S SHEPARD,ADAMS,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-26,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15072-433494,MATTHEW B THOMAS,CLARKSVILLE,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-27,4,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15072-458546,BOBBY DARNELL SR.,WOODLAWN,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-27,6,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15072-997513,GREG HUTCHISON,CLARKSVILLE,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-27,3,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15072-374573,SCOTT LAMBERTH,COTTONTOWN,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-30,3,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15064-996597,A & T FARMS,ADAMS,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-31,11,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15068-521469,SPENCER A DAMER,ADAMS,TN,DETERMINATION ISSUED - CERTIFICATION,2015-03-31,5,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15078-845698,JERRY CARNEY,PLEASANT VIEW,TN,DETERMINATION ISSUED - CERTIFICATION,2015-04-01,5,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15072-140987,DANIEL MOSELEY,ADAMS,TN,DETERMINATION ISSUED - CERTIFICATION,2015-04-01,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15079-745661,BBF PARTNERSHIP,CALHOUN CITY,MS,DETERMINATION ISSUED - CERTIFICATION,2015-04-03,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15082-834363,JOHN H SMITH DBA,PURYEAR,TN,DETERMINATION ISSUED - CERTIFICATION,2015-04-03,7,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15085-424328,JOHN L  BOURNE,CEDAR HILL,TN,DETERMINATION ISSUED - CERTIFICATION,2015-04-07,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15085-918810,T & P HARVESTING LLC,VARDAMAN,MS,DETERMINATION ISSUED - CERTIFICATION,2015-04-07,32,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15085-413749,COOPER CREEK FARM ASSOCIATION,WOODLAWN,TN,DETERMINATION ISSUED - CERTIFICATION,2015-04-07,4,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15085-421146,A & J FARMS,ADAMS,TN,DETERMINATION ISSUED - CERTIFICATION,2015-04-07,8,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15082-808984,BLICK FARMS,SPRINGFIELD,TN,DETERMINATION ISSUED - CERTIFICATION,2015-04-07,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15068-074391,THOMAS & THOMAS FARMS LLC,CLARKSVILLE,TN,DETERMINATION ISSUED - CERTIFICATION,2015-04-08,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15079-390459,SWJJ INC. DBA: SERNAK FARMS,WEATHERLY,PA,DETERMINATION ISSUED - CERTIFICATION,2015-04-08,4,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15085-425130,JEFF ELLIS,CEDAR HILL,TN,DETERMINATION ISSUED - CERTIFICATION,2015-04-08,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15085-777189,LARCHMONT FARMS INC,ELMER,NJ,DETERMINATION ISSUED - CERTIFICATION,2015-04-09,100,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15085-751567,MATTHEWS RIDGEVIEW FARMS,WYNNE,AR,DETERMINATION ISSUED - CERTIFICATION,2015-04-10,58,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15085-941840,GARLAND PITT,SPRINGFIELD,TN,DETERMINATION ISSUED - CERTIFICATION,2015-04-10,1,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15037-190967,CARTER TOBACCO FARM,MAYFIELD,KY,DETERMINATION ISSUED - DENIED,2015-04-13,0,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15085-329825,W & W PRODUCE INC,LEXA,AR,DETERMINATION ISSUED - CERTIFICATION,2015-04-13,10,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15085-540340,BROOKSHER BROTHERS,ADAMS,TN,DETERMINATION ISSUED - CERTIFICATION,2015-04-14,4,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15090-140331,WALTER P. RAWL & SONS INC,PELION,SC,DETERMINATION ISSUED - CERTIFICATION,2015-04-14,80,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15090-945861,G. DEEUGENIO & SONS #2,GLASSBORO,NJ,DETERMINATION ISSUED - CERTIFICATION,2015-04-16,26,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15079-970932,BBF PARTNERSHIP,CALHOUN CITY,MS,DETERMINATION ISSUED - CERTIFICATION,2015-04-16,38,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15092-236528,UN OF TN HIGHLAND RIM AG RESEARCH & EDUCATION CENTER,SPRINGFIELD,TN,DETERMINATION ISSUED - CERTIFICATION,2015-04-17,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15097-017634,RILEY BROTHERS FARM LLC,ADAMS,TN,DETERMINATION ISSUED - CERTIFICATION,2015-04-24,19,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15097-535923,BRYAN'S MELONS,NEWPORT,AR,DETERMINATION ISSUED - CERTIFICATION,2015-04-24,8,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15085-359077,DLR FRUIT & VEGETABLE,WAUCHULA,FL,DETERMINATION ISSUED - CERTIFICATION,2015-04-24,40,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15097-211480,WILLIAM G BALTHROP,CHAPMANSBORO,TN,DETERMINATION ISSUED - CERTIFICATION,2015-04-24,8,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15106-218397,LARCHMONT FARMS INC,ELMER,NJ,DETERMINATION ISSUED - CERTIFICATION,2015-04-30,6,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15106-401816,FREY BROTHERS,KEENES,IL,DETERMINATION ISSUED - CERTIFICATION,2015-04-30,48,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15105-395710,JOHN H SMITH DBA,PURYEAR,TN,DETERMINATION ISSUED - CERTIFICATION,2015-04-30,2,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
H-300-15106-800043,JERRY STUARD,TRENTON,KY,DETERMINATION ISSUED - CERTIFICATION,2015-05-01,7,NATIONAL AGRICULTURAL CONSULTANTS LLC:THERESA WARD
